C1,sigma,Gain,BW,Power
1.1401400927969069e-13,0.9999985694885254,0.024569667875766754,14348406784.0,0.025076931342482567
1.1451451766009146e-13,0.9999985694885254,0.024269847199320793,14348337152.0,0.025076955556869507
1.1501501248796508e-13,0.9999985694885254,0.02397158183157444,14348263424.0,0.025076990947127342
1.1551552086836586e-13,0.9999985694885254,0.023672539740800858,14348189696.0,0.02507701888680458
1.1601601569623948e-13,0.9999985694885254,0.023374274373054504,14348124160.0,0.02507704868912697
1.165165105241131e-13,0.9999985694885254,0.023073364049196243,14348042240.0,0.02507706917822361
1.1701701890451388e-13,0.9999985694885254,0.022774478420615196,14347978752.0,0.025077100843191147
1.175175137323875e-13,0.9999985694885254,0.022477300837635994,14347908096.0,0.025077134370803833
1.1801802211278828e-13,0.9999985694885254,0.022178102284669876,14347834368.0,0.025077156722545624
1.185185169406619e-13,0.9999985694885254,0.021878903731703758,14347758592.0,0.025077182799577713
1.1901902532106268e-13,0.9999985694885254,0.02157970517873764,14347692032.0,0.025077208876609802
1.195195201489363e-13,0.9999985694885254,0.021280817687511444,14347616256.0,0.02507723681628704
1.2002001497680992e-13,0.9999985694885254,0.020981930196285248,14347552768.0,0.025077268481254578
1.205205233572107e-13,0.9999986886978149,0.02068242058157921,14347475968.0,0.025077292695641518
1.2102101818508432e-13,0.9999986886978149,0.020382912829518318,14347404288.0,0.025077320635318756
1.215215265654851e-13,0.9999986886978149,0.020083092153072357,14347330560.0,0.025077348574995995
1.2202202139335872e-13,0.9999986886978149,0.01978420466184616,14347255808.0,0.025077378377318382
1.2252251622123234e-13,0.9999986886978149,0.019485939294099808,14347191296.0,0.02507740817964077
1.2302302460163311e-13,0.9999986886978149,0.019186118617653847,14347109376.0,0.025077439844608307
1.2352351942950673e-13,0.9999986886978149,0.01888878643512726,14347038720.0,0.025077462196350098
1.240240278099075e-13,0.9999986886978149,0.018591297790408134,14346966016.0,0.025077488273382187
1.2452452263778113e-13,0.9999986886978149,0.01829085685312748,14346895360.0,0.025077518075704575
1.250250310181819e-13,0.9999986886978149,0.017993679270148277,14346825728.0,0.025077547878026962
1.2552552584605553e-13,0.9999986886978149,0.01769448071718216,14346760192.0,0.02507757395505905
1.2602602067392915e-13,0.9999986886978149,0.01739388331770897,14346686464.0,0.025077607482671738
1.2652652905432993e-13,0.9999986886978149,0.017096083611249924,14346606592.0,0.025077633559703827
1.2702702388220355e-13,0.9999986886978149,0.016797352582216263,14346545152.0,0.025077655911445618
1.2752753226260433e-13,0.9999986886978149,0.016499241814017296,14346469376.0,0.025077689439058304
1.2802802709047795e-13,0.9999986886978149,0.016198955476284027,14346395648.0,0.025077713653445244
1.2852852191835157e-13,0.9999986886978149,0.015899600461125374,14346328064.0,0.02507774531841278
1.2902903029875235e-13,0.9999986886978149,0.015603824518620968,14346250240.0,0.02507776953279972
1.2952952512662597e-13,0.9999986886978149,0.01530260406434536,14346180608.0,0.02507779374718666
1.3003003350702674e-13,0.9999986886978149,0.015001851134002209,14346123264.0,0.025077827274799347
1.3053052833490036e-13,0.9999986886978149,0.014703430235385895,14346041344.0,0.025077853351831436
1.3103103671530114e-13,0.9999986886978149,0.014405631460249424,14345957376.0,0.025077883154153824
1.3153153154317476e-13,0.9999986886978149,0.014107832685112953,14345897984.0,0.025077909231185913
1.3203202637104838e-13,0.9999986886978149,0.013808478601276875,14345826304.0,0.025077933445572853
1.3253253475144916e-13,0.9999986886978149,0.01350788027048111,14345744384.0,0.02507796511054039
1.3303302957932278e-13,0.9999986886978149,0.013210081495344639,14345672704.0,0.025077994912862778
1.3353353795972356e-13,0.9999986886978149,0.012910572811961174,14345605120.0,0.02507801726460457
1.3403403278759718e-13,0.9999986886978149,0.012612618505954742,14345531392.0,0.025078048929572105
1.3453454116799796e-13,0.9999986886978149,0.012312797829508781,14345463808.0,0.025078075006604195
1.3503503599587158e-13,0.9999986886978149,0.01201499905437231,14345396224.0,0.025078101083636284
1.355355308237452e-13,0.9999986886978149,0.01171533390879631,14345317376.0,0.02507813274860382
1.3603603920414598e-13,0.9999986886978149,0.0114176906645298,14345251840.0,0.025078164413571358
1.365365340320196e-13,0.9999988079071045,0.011117247864603996,14345175040.0,0.025078190490603447
1.3703704241242037e-13,0.9999988079071045,0.010818050242960453,14345101312.0,0.025078218430280685
1.37537537240294e-13,0.9999988079071045,0.0105197848752141,14345037824.0,0.025078248232603073
1.3803803206816762e-13,0.9999988079071045,0.010218719951808453,14344960000.0,0.02507827617228031
1.385385404485684e-13,0.9999988079071045,0.009921543300151825,14344894464.0,0.02507830038666725
1.3903903527644201e-13,0.9999988079071045,0.009623433463275433,14344824832.0,0.02507833018898964
1.395395436568428e-13,0.9999988079071045,0.009324234910309315,14344745984.0,0.02507835626602173
1.400400384847164e-13,0.9999988079071045,0.009026280604302883,14344674304.0,0.025078382343053818
1.405405468651172e-13,0.9999988079071045,0.008725371211767197,14344606720.0,0.025078412145376205
1.410410416929908e-13,0.9999988079071045,0.008427727967500687,14344536064.0,0.025078438222408295
1.4154153652086443e-13,0.9999988079071045,0.008129151538014412,14344460288.0,0.02507847361266613
1.420420449012652e-13,0.9999988079071045,0.007829952985048294,14344385536.0,0.02507849410176277
1.4254253972913883e-13,0.9999988079071045,0.007531843613833189,14344313856.0,0.02507852390408516
1.430430481095396e-13,0.9999988079071045,0.00723093468695879,14344245248.0,0.025078553706407547
1.4354354293741323e-13,0.9999988079071045,0.006931736599653959,14344177664.0,0.025078579783439636
1.4404403776528685e-13,0.9999988079071045,0.006632538046687841,14344103936.0,0.025078609585762024
1.4454454614568762e-13,0.9999988079071045,0.006336139049381018,14344024064.0,0.025078635662794113
1.4504504097356125e-13,0.9999988079071045,0.0060369404964149,14343958528.0,0.0250786654651165
1.4554554935396202e-13,0.9999988079071045,0.005737586412578821,14343883776.0,0.02507869154214859
1.4604604418183564e-13,0.9999988079071045,0.005440098699182272,14343815168.0,0.02507871948182583
1.4654655256223642e-13,0.9999988079071045,0.005139967426657677,14343697408.0,0.025078801438212395
1.4704704739011004e-13,0.9999988079071045,0.004839369095861912,14343562240.0,0.0250789113342762
1.4754754221798366e-13,0.9999988079071045,0.004540948197245598,14343421952.0,0.025079017505049706
1.4804805059838444e-13,0.9999988079071045,0.004242527764290571,14343279616.0,0.025079140439629555
1.4854854542625806e-13,0.9999988079071045,0.003945350646972656,14343137280.0,0.02507924661040306
1.4904905380665884e-13,0.9999988079071045,0.0036435085348784924,14342991872.0,0.02507936581969261
1.4954954863453246e-13,0.9999988079071045,0.0033452436327934265,14342860800.0,0.025079477578401566
1.5005004346240608e-13,0.9999988079071045,0.003047289326786995,14342715392.0,0.02507959119975567
1.5055055184280686e-13,0.9999988079071045,0.002749179257079959,14342578176.0,0.02507970482110977
1.5105104667068048e-13,0.9999988079071045,0.002449825406074524,14342429696.0,0.025079816579818726
1.5155155505108125e-13,0.9999988079071045,0.002150626853108406,14342293504.0,0.02507992833852768
1.5205204987895488e-13,0.9999988079071045,0.0018509621731936932,14342151168.0,0.025080043822526932
1.5255255825935565e-13,0.9999988079071045,0.00155269680544734,14342017024.0,0.025080159306526184
1.5305305308722927e-13,0.9999988079071045,0.0012550534447655082,14341875712.0,0.02508026920258999
1.535535479151029e-13,0.999998927116394,0.0009558550664223731,14341728256.0,0.02508038468658924
1.5405405629550367e-13,0.999998927116394,0.0006563456263393164,14341591040.0,0.025080500170588493
1.545545511233773e-13,0.999998927116394,0.00035808031680062413,14341449728.0,0.025080613791942596
1.5505505950377807e-13,0.999998927116394,5.7637866120785475e-05,14341310464.0,0.0250807236880064
1.555555543316517e-13,0.999998927116394,-0.00024000543635338545,14341171200.0,0.025080841034650803
1.5605606271205247e-13,0.999998927116394,-0.0005399812944233418,14341033984.0,0.02508094720542431
1.565565575399261e-13,0.999998927116394,-0.0008401127997785807,14340888576.0,0.025081060826778412
