C1,Ld,sigma,Gain,BW,Power
3.857142741054559e-13,7.999999968033578e-11,0.9999988079071045,3.7274856567382812,14660733952.0,0.02511339634656906
3.959183783770748e-13,7.999999968033578e-11,0.999998927116394,3.7282631397247314,14661166080.0,0.025111092254519463
4.0612245554363935e-13,7.999999968033578e-11,0.9999990463256836,3.729037046432495,14661607424.0,0.025108788162469864
4.163265327102039e-13,7.999999968033578e-11,0.9999990463256836,3.72981333732605,14662039552.0,0.025106485933065414
4.265306098767685e-13,7.999999968033578e-11,0.9999991655349731,3.730588912963867,14662478848.0,0.025104176253080368
4.3673468704333307e-13,7.999999968033578e-11,0.9999991655349731,3.7313637733459473,14662916096.0,0.02510187402367592
4.4693876420989764e-13,7.999999968033578e-11,0.9999992847442627,3.7321388721466064,14663352320.0,0.025099562481045723
4.571428413764622e-13,7.999999968033578e-11,0.9999992847442627,3.732914686203003,14663780352.0,0.025097258388996124
4.673469185430268e-13,7.999999968033578e-11,0.9999994039535522,3.7336056232452393,14663012352.0,0.025095747783780098
4.775509957095914e-13,7.999999968033578e-11,0.9999994039535522,3.734292984008789,14662253568.0,0.025094250217080116
4.877551270862646e-13,7.999999968033578e-11,0.9999995231628418,3.7349841594696045,14661488640.0,0.02509274333715439
4.979592042528291e-13,7.999999968033578e-11,0.9999995231628418,3.7356722354888916,14660717568.0,0.02509123645722866
5.081632814193937e-13,7.999999968033578e-11,0.9999995231628418,3.7363619804382324,14659948544.0,0.025089731439948082
5.183673585859583e-13,7.999999968033578e-11,0.9999995231628418,3.737006187438965,14659033088.0,0.025088079273700714
5.285714357525229e-13,7.999999968033578e-11,0.9999996423721313,3.7374842166900635,14657478656.0,0.025085875764489174
5.387755129190874e-13,7.999999968033578e-11,0.9999996423721313,3.737966299057007,14656014336.0,0.0250836368650198
5.48979590085652e-13,7.999999968033578e-11,0.9999996423721313,3.738616943359375,14654863360.0,0.025081172585487366
5.591836672522166e-13,7.999999968033578e-11,0.9999996423721313,3.739656686782837,14654222336.0,0.02507828362286091
5.693877444187811e-13,7.999999968033578e-11,0.9999997615814209,3.7406957149505615,14653577216.0,0.025075403973460197
5.795918215853457e-13,7.999999968033578e-11,0.9999997615814209,3.7420153617858887,14653612032.0,0.025073494762182236
5.897958987519103e-13,7.999999968033578e-11,0.9999997615814209,3.7438724040985107,14654940160.0,0.0250734630972147
5.999999759184749e-13,7.999999968033578e-11,0.9999997615814209,3.7457268238067627,14656274432.0,0.025073423981666565
9.9999998245167e-14,9.02040803163473e-11,0.9999924898147583,4.017632484436035,14653389824.0,0.025121135637164116
1.1020408218799516e-13,9.02040803163473e-11,0.9999929666519165,4.017478942871094,14646041600.0,0.025126826018095016
1.2040815935455973e-13,9.02040803163473e-11,0.9999934434890747,4.017815589904785,14638192640.0,0.025128519162535667
1.3061225007365146e-13,9.02040803163473e-11,0.9999938011169434,4.018677711486816,14628694016.0,0.025128979235887527
1.4081632724021603e-13,9.02040803163473e-11,0.999994158744812,4.019739151000977,14618573824.0,0.02512894570827484
1.510204044067806e-13,9.02040803163473e-11,0.9999945163726807,4.020801544189453,14608457728.0,0.0251289214938879
1.6122449512587234e-13,9.02040803163473e-11,0.9999948740005493,4.021718978881836,14598555648.0,0.025129001587629318
1.714285722924369e-13,9.02040803163473e-11,0.999995231628418,4.020415306091309,14591844352.0,0.025131823495030403
1.8163264945900148e-13,9.02040803163473e-11,0.9999954700469971,4.018164157867432,14585724928.0,0.02513418346643448
1.918367401780932e-13,9.02040803163473e-11,0.9999958276748657,4.015445709228516,14580015104.0,0.025135904550552368
2.0204081734465779e-13,9.02040803163473e-11,0.9999960660934448,4.012727737426758,14574296064.0,0.025137629359960556
2.1224489451122236e-13,9.02040803163473e-11,0.9999963045120239,4.010024547576904,14568879104.0,0.025139056146144867
2.224489852303141e-13,9.02040803163473e-11,0.999996542930603,4.007358551025391,14564161536.0,0.025139788165688515
2.3265306239687866e-13,9.02040803163473e-11,0.9999967813491821,4.0046916007995605,14559440896.0,0.025140518322587013
2.4285713956344324e-13,9.02040803163473e-11,0.9999969005584717,4.002649784088135,14553450496.0,0.025140127167105675
